JUMP_PACK SWWSW
SUPPLY_PACK SASWWS
GUARD_DOG_ROVER SWAWDD
BALLISTIC_SHEILD SASSWA
GENERATOR_PACK SWADAD
GUARD_DOG SWAWDS

MACHINE_GUN SASWD
ANTI_MATERIAL_RIFLE SADWS
STALWART SASWWA
ANTI_TANK SSAWD
RECOILESS_RIFLE SADDA
FLAME_THROWER SAWSW
AUTOCANNON SASWWD
HEAVY_MACHINE_GUN SAWSS
RAILGUN SDSWAD
SPEAR SSWSS
COMMANDO SAWSD
ARC_THROWER SDSWAA
QUASAR_CANNON SSWAD
GRENADE_LAUNCHER SAWAS
LASER_CANNON SASWA
AIRBURST_LAUNCHER SWWAD

PATRIOT ASDWASS
YELLOW_MECH ASDWASW

REINFORCE WSDAW
SOS_BEACON WSDA
RESUPPLY SSWD
EAGLE_REARM WWAWD
SEAF_ARTILLERY AWWS
SSSD_DELIVERY SSSWW
UPLOAD_DATA ADWWW
HELLBOMB SWASWDSW
SEISMIC_PROBE WWADSS
PROSPECTING_DRILL SSADSS
SUPER_EARTH_FLAG SWSW

HEAVY_MACHINE_GUN_EMPLACEMENT SWADDA
SHEILD_GENERATOR_RELAY SSADAD
TESLA_TOWER SWDWAD
ANTI_PERSONEL_MINES SAWD
INCENDAIRY_MINES SAAS
MACHINE_GUN_SENTRY SWDDW
GATLING_SENTRY SWDA
MORTAR_SENTRY SWDDS
AUTOCANNON_SENTRY SWDWAW
ROCKET_SENTRY SWDDA
EMS_MORTAR_SENTRY SWDSD

ORBITAL_GATLING DSAWW
ORBITAL_AIRBURST DDD
ONE_TWENTY_ORBITAL DSADS
THREE_EIGHTY_ORBITAL DSWWASS
WALKING_ORBITAL DDSADS
ORBITAL_LASER DSWDS
ORBITAL_RAIL_CANNON DWSSD
ORBITAL_PRECISION DDW
ORBITAL_GAS DDSD
ORBITAL_EMS DDAS
ORBITAL_SMOKE DDSW

EAGLE_STRAFE WDD
EAGLE_AIRSTRIKE WDSD
EAGLE_CLUSTER WDSSD
EAGLE_NAPALM WDSW
EAGLE_SMOKE WDWS
EAGLE_ONE_TEN WDWA
EAGLE_FIVE_HUNDRED WDSSS


